CASE_NO,STARTED,CLOSED,CaseType,CaseSubType,SITE_ADDR,SITE_CITY,SITE_STATE,SITE_ZIP,Case_Count,Case_Completion
CE18-1399,10/9/2018 12:00:00 AM,5/29/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,3370 AMETHYST ST,CORONA,CA,92882,1,1
CE22-0763,6/6/2022 12:00:00 AM,6/5/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1157 FALLBROOK DR,CORONA,CA,92880,1,1
CE10-0292,3/10/2010 12:00:00 AM,6/2/2010 12:00:00 AM,CODE ENFORCEMENT,BLDGCODE,530 MESA DR     ,,,,1,1
CE22-0909,6/24/2022 12:00:00 AM,10/18/2022 12:00:00 AM,CODE ENFORCEMENT,ABANDONED-INOPERATIVE VEHICLE,530 MESA DR,CORONA,CA,92879,1,1
CC24-0581,4/25/2024 12:00:00 AM,5/28/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,412 1/2 B S BELLE AVE,CORONA,CA,92882,1,1
CE02-0528,5/8/2002 12:00:00 AM,6/7/2002 12:00:00 AM,CODE ENFORCEMENT,PROP,412 S BELLE AV,,,,1,1
CE09-0271,3/20/2009 12:00:00 AM,4/7/2009 12:00:00 AM,CODE ENFORCEMENT,BLDGCODE,1317 VIA SANTIAGO #B  ,,,,1,1
CE04-0399,3/29/2004 12:00:00 AM,4/16/2004 12:00:00 AM,CODE ENFORCEMENT,PROP,841 BIG SPRING CT     ,,,,1,1
CE14-0541,6/11/2014 12:00:00 AM,3/30/2015 12:00:00 AM,CODE ENFORCEMENT,,503 CINDY CT ,,,,1,1
CE18-1358,9/26/2018 12:00:00 AM,4/30/2019 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,503 CINDY CT,CORONA,CA,92882,1,1
